"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";150;-9;1;"M";"1";24;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";160;-9;1;"M";"1";32;2;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";160;-9;1;"M";"1";37;2;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"1";NA;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"1";39;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"1";40;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"1";41;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"1";49;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"M";"5";42;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"M";"1";51;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"M";"1";52;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"1";NA;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"1";53;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"1";54;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"1";57;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"1";59;2;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"1";77;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"1";84;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"5";68;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"5";69;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"5";70;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"M";"5";80;2;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"M";"1";78;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"M";"1";84;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"M";"5";NA;2;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"M";"5";87;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"M";"5";91;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"M";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"M";"5";90;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"M";"5";95;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"M";"5";101;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"M";"5";NA;3;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"M";"5";115;1;20161213;"resting_skip_spawning"
