julian_day;month;year;SBT;SST;tdiff
11;1;2012;6.015257532;4.360645268;-1.654612264
11;1;2013;5.995685131;3.241446062;-2.754239069
11;1;2014;6.604693878;4.971803441;-1.632890436
11;1;2015;5.875403304;4.198223031;-1.677180273
11;1;2016;6.206773567;3.806846459;-2.399927107
11;1;2017;3.385315841;0.160172071;-3.225143769
11;1;2018;6.08696793;4.070552614;-2.016415316
12;1;1979;3.423187561;0.122041694;-3.301145866
12;1;1980;4.899650146;1.418378557;-3.481271589
12;1;1981;4.692147716;2.115215089;-2.576932627
12;1;1982;4.527648202;0.08783587;-4.439812332
12;1;1983;5.166822157;3.884126406;-1.282695751
12;1;1984;4.536588921;3.087720053;-1.448868868
12;1;1985;5.229776482;0.231290536;-4.998485946
12;1;1986;6.476209913;1.761776969;-4.714432944
12;1;1987;5.288658892;0.7486863;-4.539972592
12;1;1988;5.590233236;4.348074123;-1.242159113
12;1;1989;5.176822157;3.725347452;-1.451474705
12;1;1990;6.012108844;3.583044341;-2.429064502
12;1;1991;5.275082604;3.709702184;-1.56538042
12;1;1992;5.033090379;3.594655857;-1.438434522
12;1;1993;5.140262391;2.312610854;-2.827651537
12;1;1994;5.275539359;2.863931171;-2.411608187
12;1;1995;5.640194363;2.152567836;-3.487626528
12;1;1996;5.650165209;1.351373263;-4.298791946
12;1;1997;5.810369291;0.049334878;-5.761034413
12;1;1998;5.873634597;3.52464593;-2.348988667
12;1;1999;5.284091351;2.298894772;-2.985196579
12;1;2000;5.456200194;2.91634679;-2.539853404
12;1;2001;6.43574344;3.398444739;-3.037298702
12;1;2002;5.807482993;0.898917935;-4.908565058
12;1;2003;5.296899903;0.203739246;-5.093160657
12;1;2004;5.920874636;2.784904037;-3.135970599
12;1;2005;5.463790087;4.650969557;-0.812820531
12;1;2006;5.84797862;2.086055592;-3.761923028
12;1;2007;6.976890185;6.137332892;-0.839557293
12;1;2008;5.389378037;3.524460622;-1.864917415
12;1;2009;5.95047619;1.890397088;-4.060079102
12;1;2010;6.381409135;1.776968895;-4.60444024
12;1;2011;4.844275996;0.131863005;-4.712412991
12;1;2012;5.977482993;4.466178028;-1.511304965
12;1;2013;5.854081633;2.947859034;-2.906222599
12;1;2014;6.582526725;4.833504302;-1.749022423
12;1;2015;5.836977648;4.190797485;-1.646180163
12;1;2016;6.172487852;3.765572469;-2.406915384
12;1;2017;3.423187561;0.122041694;-3.301145866
12;1;2018;6.047035957;4.147945069;-1.899090888
13;1;1979;3.3802138;0.133944408;-3.246269392
13;1;1980;4.811827017;1.231015884;-3.580811133
13;1;1981;4.620942663;2.003077432;-2.617865231
13;1;1982;4.694431487;-0.058007942;-4.752439429
13;1;1983;5.140204082;3.9199636;-1.220240481
13;1;1984;4.490456754;3.031227664;-1.45922909
13;1;1985;5.158892128;0.126935804;-5.031956324
13;1;1986;6.357373541;1.830645268;-4.526728273
13;1;1987;5.128532556;0.647905361;-4.480627195
13;1;1988;5.598483965;4.225324289;-1.373159676
13;1;1989;5.141350826;3.728176704;-1.413174122
13;1;1990;5.980291545;3.520218398;-2.460073147
13;1;1991;5.26180758;3.521661152;-1.740146429
13;1;1992;5.048785228;3.459444077;-1.589341152
13;1;1993;5.018872692;2.266058901;-2.752813791
13;1;1994;5.239854227;3.111932495;-2.127921732
13;1;1995;5.647366375;1.948183322;-3.699183053
13;1;1996;5.627434402;1.366019193;-4.26141521
13;1;1997;5.712536443;0.241704169;-5.470832274
13;1;1998;5.834382896;3.539281932;-2.295100964
13;1;1999;5.279873664;2.131780278;-3.148093386
13;1;2000;5.38303207;2.810324289;-2.572707781
13;1;2001;6.43101069;3.169305096;-3.261705594
13;1;2002;5.790962099;0.887230311;-4.903731788
13;1;2003;5.236404276;0.607385837;-4.629018439
13;1;2004;5.906336249;2.779139643;-3.127196606
13;1;2005;5.426054422;4.534933819;-0.891120603
13;1;2006;5.857220603;1.936522171;-3.920698432
13;1;2007;6.975082604;6.19152548;-0.783557125
13;1;2008;5.381000972;3.451694242;-1.92930673
13;1;2009;5.743090379;1.955996029;-3.78709435
13;1;2010;6.363566569;1.746813369;-4.616753201
13;1;2011;4.817463557;0.137630708;-4.679832849
13;1;2012;5.85148688;4.295314361;-1.556172519
13;1;2013;5.735908649;2.715926539;-3.01998211
13;1;2014;6.55574344;4.650830576;-1.904912864
13;1;2015;5.819931973;4.305165453;-1.514766519
13;1;2016;6.124450923;3.724301787;-2.400149136
13;1;2017;3.3802138;0.133944408;-3.246269392
13;1;2018;5.997891156;4.138659828;-1.859231329
14;1;1979;3.314285714;0.07106221;-3.243223504
14;1;1980;4.640456754;1.073110523;-3.567346231
14;1;1981;4.61414966;1.883064196;-2.731085464
14;1;1982;4.734859086;-0.148855063;-4.883714149
14;1;1983;5.119883382;3.787352747;-1.332530635
14;1;1984;4.434091351;2.927346128;-1.506745222
14;1;1985;5.078824101;0.165413633;-4.913410468
14;1;1986;6.287006803;1.846896095;-4.440110707
14;1;1987;5.088979592;0.545953011;-4.543026581
14;1;1988;5.57718173;4.025344143;-1.551837587
14;1;1989;5.124888241;3.724867637;-1.400020604
14;1;1990;5.951992225;3.398282594;-2.553709631
14;1;1991;5.221933916;3.285188617;-1.9367453
14;1;1992;5.044674441;3.589404368;-1.455270073
